Embedding,Test Accuracy,Test Loss,Top-5 Accuracy
TF-IDF,0.8151100277900696,0.6593712568283081,0.9569100141525269
Skip-gram,0.8883000016212463,0.3982352614402771,0.9872999787330627
CBOW,0.8767799735069275,0.4331591725349426,0.9844899773597717
