Embedding,Test Accuracy,Macro F1,Weighted F1
TF-IDF,0.8665,0.8357651307923011,0.8662340517877327
Skip-gram,0.82114,0.7659093703229681,0.8220306820044275
CBOW,0.80898,0.747160196599027,0.8103988453308604
FastText,0.79689,0.7335848757255345,0.7986962045152389
